insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (1, 140.03, false, null, 1);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (2, 231.11, false, null, 2);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (3, 264.82, false, null, 3);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (4, 163.58, false, null, 4);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (5, 213.74, false, null, 5);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (6, 198.06, true, null, 6);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (7, 208.29, true, null, 7);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (8, 166.39, true, null, 8);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (9, 201.36, false, null, 9);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (10, 214.43, false, null, 10);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (11, 205.12, false, null, 11);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (12, 161.27, true, null, 12);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (13, 224.62, true, null, 13);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (14, 261.32, false, null, 14);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (15, 252.49, true, null, 15);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (16, 260.1, true, null, 16);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (17, 166.12, true, null, 17);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (18, 160.67, true, null, 18);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (19, 188.63, false, null, 19);
insert into dispositivo (id, consumo_energy, estado, nome, id_divisao) values (20, 144.84, false, null, 20);
